Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
Livestock Improvement Corp. Ltd. Investment;Livestock Improvement Corp. Ltd. Investment;LIC.NZ;LIC;LIC;126766510;0,95;;;;;;0,78;;
Smiths City Group;Smiths City Group;SCY.NZ;SCY;SCY;52688153;1;;;;;;0,14;;
SMW Group Ltd.;SMW Group Ltd.;SMW.NZ;SMW;SMW;54122884;0,5;;;;;;1,5;;
Allied Farmers;Allied Farmers;ALF.NZ;ALF;ALF;17854729;1;;;;;;0,72;;
Mercer Group Ltd. Ordinary Shares;Mercer Group Ltd. Ordinary Shares;MGL.NZ;MGL;MGL;65620000;0,5;;;;;;0,4;;
Chatham Rock Phosphate Ltd. Ordinary Shares;Chatham Rock Phosphate Ltd. Ordinary Shares;CRP.NZ;CRP;CRP;33699154;1;;;;;;0,119;;
Promisia Integrative Ltd.;Promisia Integrative Ltd.;PIL.NZ;PIL;PIL;2151797451;0,5;;;;;;0,002;;
General Capital Ltd.;General Capital Ltd.;GEN.NZ;GEN;GEN;161657643;0,5;;;;;;0,071;;
Cannasouth Ltd.;Cannasouth Ltd.;CBD.NZ;CBD;CBD;121321301;0,5;;;;;;0,91;;
Gentrack Group Ltd.;Gentrack Group Ltd.;GTK.NZ;GTK;GTK;98644829;0,55;;;;;;1,3;;
New Talisman Gold Mines Ltd.;New Talisman Gold Mines Ltd.;NTL.NZ;NTL;NTL;2792225363;0,9;;;;;;0,007;;
Evolve Education Group Ltd.;Evolve Education Group Ltd.;EVO.NZ;EVO;EVO;1118603993;0,8;;;;;;0,097;;
NZME Ltd.;NZME Ltd.;NZM.NZ;NZM;NZM;196555998;0,5;;;;;;0,63;;
Heartland Group Holdings Ltd.;Heartland Group Holdings Ltd.;HGH.NZ;HGH;HGH;580979106;1;;;;;;1,37;;
AFC Group Holdings Ltd.;AFC Group Holdings Ltd.;AFC.NZ;AFC;AFC;3664216112;0,5;;;;;;0,001;;
Blackwell Global Holdings Ltd.;Blackwell Global Holdings Ltd.;BGI.NZ;BGI;BGI;502330488;0,04;;;;;;0,016;;
Barramundi Ltd.;Barramundi Ltd.;BRM.NZ;BRM;BRM;208719740;1;;;;;;0,81;;
Enprise Group Ltd.;Enprise Group Ltd.;ENS.NZ;ENS;ENS;15900895;0,5;;;;;;1,08;;
Foley Wines Ltd.;Foley Wines Ltd.;FWL.NZ;FWL;FWL;65736148;0,3;;;;;;1,89;;
Geo Ltd.;Geo Ltd.;GEO.NZ;GEO;GEO;81671095;1;;;;;;0,08;;
Good Spirits Hospitality Ltd.;Good Spirits Hospitality Ltd.;GSH.NZ;GSH;GSH;54065690;0,5;;;;;;0,084;;
Kingfish Ltd.;Kingfish Ltd.;KFL.NZ;KFL;KFL;250430295;1;;;;;;1,73;;
Millennium & Copthorne Hotels New Zealand Ltd.;Millennium & Copthorne Hotels New Zealand Ltd.;MCKPA.NZ;MCKPA;MCKPA;52739543;0,5;;;;;;1,76;;
