Company name;Security name;Yahoo code;WSJ code;Google code;Final NOS;Final FFR;Capi;FF Capi;Final Price;          ;YAH price;WSJ price ;SE price;              
Severn Trent Plc.;Severn Trent Plc.;SVT.L;SVT;SVT;242382380;0,9;;;;;;;;
HISCOX Ltd.;HISCOX Ltd.;HSX.L;HSX;HSX;353828050;0,8;;;;;;;;
JD SPORTS FASHION Plc.;JD SPORTS FASHION Plc.;JD.L;JD;JD.;973233160;0,45;;;;;;;;
Aveva Group Plc.;Aveva Group Plc.;AVV.L;AVV;AVV;161512228;0,4;;;;;;;;
Meggitt Plc.;Meggitt Plc.;MGGT.L;MGGT;MGGT;781235051;0,85;;;;;;;;
Hammerson Plc.;Hammerson Plc.;HMSO.L;HMSO;HMSO;153258722;0,8;;;;;;;;
G4S Plc.;G4S Plc.;GFS.L;GFS;GFS;1551594436;1;;;;;;;;
Auto Trader Group Plc.;Auto Trader Group Plc.;AUTO.L;AUTO;AUTO;970054263;0,95;;;;;;;;
B&M European Value Retail SA;B&M European Value Retail SA;BME.L;BME;BME;1000698006;0,8;;;;;;;;
Fevertree Drinks Plc.;Fevertree Drinks Plc.;FEVR.L;FEVR;FEVR;116261263;0,95;;;;;;;;
WOOD GROUP(JOHN);WOOD GROUP(JOHN);WG.L;WG;WG.;684939369;0,9;;;;;;;;
Renishaw Plc.;Renishaw Plc.;RSW.L;RSW;RSW;72788543;0,55;;;;;;;;
BABCOCK INTL GROUP Plc.;BABCOCK INTL GROUP Plc.;BAB.L;BAB;BAB;505596597;1;;;;;;;;
ConvaTec Group Plc.;ConvaTec Group Plc.;CTEC.L;CTEC;CTEC;2000505472;0,8;;;;;;;;
TP ICAP Plc.;TP ICAP Plc.;TCAP.L;TCAP;TCAP;382089000;1;;;;;;;;
Mediclinic International;Mediclinic International;MDC.L;MDC;MDC;737243810;0,5;;;;;;;;
Investec Plc.;Investec Plc.;INVP.L;INVP;INVP;318904709;0,8;;;;;;;;
KAZ Minerals Plc.;KAZ Minerals Plc.;KAZ.L;KAZ;KAZ;480723977;0,6;;;;;;;;
Cineworld Group Plc.;Cineworld Group Plc.;CINE.L;CINE;CINE;1372797489;0,5;;;;;;;;
Bellway Plc.;Bellway Plc.;BWY.L;BWY;BWY;123346119;0,95;;;;;;;;
Signature Aviation Plc.;Signature Aviation Plc.;SIG.L;SIG;SIG;839600000;0,85;;;;;;;;
Travis Perkins Plc.;Travis Perkins Plc.;TPK.L;TPK;TPK;256088067;0,95;;;;;;;;
BURFORD CAPITAL Ltd.;BURFORD CAPITAL Ltd.;BUR.L;BUR;BUR;219049877;0,85;;;;;;;;
Derwent London Plc.;Derwent London Plc.;DLN.L;DLN;DLN;111947883;0,85;;;;;;;;
Inchcape Plc.;Inchcape Plc.;INCH.L;INCH;INCH;393274393;0,9;;;;;;;;
IMI Plc.;IMI Plc.;IMI.L;IMI;IMI;286514348;0,85;;;;;;;;
Howden Joinery Group Plc.;Howden Joinery Group Plc.;HWDN.L;HWDN;HWDN;602863861;0,9;;;;;;;;
Electrocomponents Plc.;Electrocomponents Plc.;ECM.L;ECM;ECM;447264483;0,7;;;;;;;;
Homeserve Plc.;Homeserve Plc.;HSV.L;HSV;HSV;335995002;0,95;;;;;;;;
SSP GROUP Plc.;SSP GROUP Plc.;SSPG.L;SSPG;SSPG;537859931;0,8;;;;;;;;
IG GROUP Holdings;IG GROUP Holdings;IGG.L;IGG;IGG;370299455;0,85;;;;;;;;
Pennon Group Plc.;Pennon Group Plc.;PNN.L;PNN;PNN;421605016;0,95;;;;;;;;
Intermediate Capital Group Plc.;Intermediate Capital Group Plc.;ICP.L;ICP;ICP;305083776;0,8;;;;;;;;
Tullow Oil Plc.;Tullow Oil Plc.;TLW.L;TLW;TLW;1411847326;0,85;;;;;;;;
Rotork Plc.;Rotork Plc.;ROR.L;ROR;ROR;872747353;0,8;;;;;;;;
Dechra Pharmaceuticals Plc.;Dechra Pharmaceuticals Plc.;DPH.L;DPH;DPH;108011005;0,95;;;;;;;;
Hays Plc.;Hays Plc.;HAS.L;HAS;HAS;1682116775;0,9;;;;;;;;
METRO BANK Plc.-WI;METRO BANK Plc.-WI;MTRO.L;MTRO;MTRO;172420458;0,95;;;;;;;;
Tate & Lyle Plc.;Tate & Lyle Plc.;TATE.L;TATE;TATE;468420261;0,8;;;;;;;;
Beazley Plc.;Beazley Plc.;BEZ.L;BEZ;BEZ;608845844;0,95;;;;;;;;
Shaftesbury Plc.;Shaftesbury Plc.;SHB.L;SHB;SHB;307400000;0,7;;;;;;;;
Man Group Plc.;Man Group Plc.;EMG.L;EMG;EMG;1533144137;0,9;;;;;;;;
Abcam Plc.;Abcam Plc.;ABC.L;ABC;ABC;216192416;0,8;;;;;;;;
Frasers Group Plc.;Frasers Group Plc.;FRAS.L;FRAS;FRAS;640602369;0,35;;;;;;;;
IWG Plc.;IWG Plc.;IWG.L;IWG;IWG;1057308651;0,5;;;;;;;;
William Hill Plc.;William Hill Plc.;WMH.L;WMH;WMH;1075860986;0,9;;;;;;;;
PHOENIX GROUP Holdings;PHOENIX GROUP Holdings;PHNX.L;PHNX;PHNX;224184381;0,75;;;;;;;;
Victrex Plc.;Victrex Plc.;VCT.L;VCT;VCT;86600971;0,9;;;;;;;;
DAILY MAIL AND GENERAL TRUST;DAILY MAIL AND GENERAL TRUST ord non voting;DMGT.L;DMGT;DMGT;19886472;0,75;;;;;;;;
INDIVIOR Plc.;INDIVIOR Plc.;INDV.L;INDV;INDV;733484840;0,9;;;;;;;;
Ashmore Group Plc.;Ashmore Group Plc.;ASHM.L;ASHM;ASHM;712740804;0,55;;;;;;;;
Capital & Counties Properties Plc.;Capital & Counties Properties Plc.;CAPC.L;CAPC;CAPC;851083643;0,85;;;;;;;;
Boohoo.Com Plc.;Boohoo.Com Plc.;BOO.L;BOO;BOO;1226644188;1;;;;;;;;
CLOSE BROS GROUP;CLOSE BROS GROUP;CBG.L;CBG;CBG;152078457;0,8;;;;;;;;
Unite Group Plc.;Unite Group Plc.;UTG.L;UTG;UTG;398142699;0,7;;;;;;;;
UDG HEALTHCARE COMPANY Plc.;UDG HEALTHCARE COMPANY Plc.;UDG.L;UDG;UDG;258584340;0,95;;;;;;;;
Wh Smith Plc.;Wh Smith Plc.;SMWH.L;SMWH;SMWH;130865456;0,9;;;;;;;;
Dixons Carphone Plc.;Dixons Carphone Plc.;DC.L;DC;DC.;1166458443;0,9;;;;;;;;
RHI Magnesita N.V.;RHI Magnesita N.V.;RHIM.L;RHIM;RHIM;49077705;0,65;;;;;;;;
National Express Group Plc.;National Express Group Plc.;NEX.L;NEX;NEX;614086377;0,8;;;;;;;;
JUPITER FUND MANAGEMENT Plc.;JUPITER FUND MANAGEMENT Plc.;JUP.L;JUP;JUP;457700000;0,7;;;;;;;;
Britvic Plc.;Britvic Plc.;BVIC.L;BVIC;BVIC;267387934;0,85;;;;;;;;
PLUS500 Ltd.;PLUS500 Ltd.;PLUS.L;PLUS;PLUS;114488345;0,85;;;;;;;;
Bodycote Plc.;Bodycote Plc.;BOY.L;BOY;BOY;191456172;1;;;;;;;;
Great Portland Estates Plc.;Great Portland Estates Plc.;GPOR.L;GPOR;GPOR;253867911;0,6;;;;;;;;
Balfour Beatty Plc.;Balfour Beatty Plc.;BBY.L;BBY;BBY;689739619;0,9;;;;;;;;
Pagegroup Plc.;Pagegroup Plc.;PAGE.L;PAGE;PAGE;328618774;0,9;;;;;;;;
Redrow Plc.;Redrow Plc.;RDW.L;RDW;RDW;352190420;0,95;;;;;;;;
Grafton Group Plc.;Grafton Group Plc.;GFTU.L;GFTU;GFTU;239134048;0,95;;;;;;;;
PETROFAC;PETROFAC;PFC.L;PFC;PFC;355968214;0,9;;;;;;;;
ASCENTIAL Plc.;ASCENTIAL Plc.;ASCL.L;ASCL;ASCL;403274977;0,95;;;;;;;;
